buku
meja
ayam
kucing
anjing
ikan
nasi
roti
susu
air
topi
bola
kaki
tangan
mata
hidung
telinga
mulut
gigi
rambut
bapak
mama
kakak
adik
rumah
pintu
jendela
kursi
lampu
pensil
buku
tas
sepatu
baju
celana
